,Unnamed: 0,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
112,15,20846,Galvanize Ventures,Milwaukee,vc,2017-08-08,0,0,Denver,CO,USA,galvanize.com,food & beverages,39.7392364,-104.9848623
113,16,349,Chris Yeh,Bay Area,angel,2013-03-22,0,0,Palo Alto,CA,USA,angel.co/chrisyeh,food & beverages,37.4443293,-122.1598465
114,17,2858,Seraph Group,Atlanta,vc,2018-09-18,0,0,Atlanta,GA,USA,seraphgroup.net,food & beverages,33.7490987,-84.3901849
115,19,1956,Francisco Partners,Bay Area,vc,2020-08-25,0,0,San Francisco,CA,USA,franciscopartners.com,food & beverages,37.7790262,-122.4199061
116,20,5030,IP Group Plc,London,vc,2018-12-03,0,0,London,,GBR,ipgroupplc.com,food & beverages,42.19592,-73.36206
117,30,1622,OMERS Ventures,Toronto,vc,2017-11-07,0,0,Toronto,CAN-ON,CAN,omersventures.com,food & beverages,43.6913544,-79.5006666
118,31,6862,Innovacorp,Halifax,vc,2018-02-07,0,0,Halifax,CAN-NS,CAN,innovacorp.ca,food & beverages,49.1810037,-0.3698915
119,33,2384,Saeed Amidi,Bay Area,angel,2015-11-22,0,0,Sunnyvale,CA,USA,angel.co/saeed-amidi,food & beverages,37.3688301,-122.0363496
120,34,17494,Robert Claassen,Bay Area,angel,2012-07-01,0,0,Palo Alto,CA,USA,,food & beverages,37.4443293,-122.1598465
121,39,3166,Prospect Venture Partners,Bay Area,vc,2016-09-27,0,0,Palo Alto,CA,USA,prospectventures.com,food & beverages,37.4443293,-122.1598465
122,41,1090,XG Ventures,Bay Area,vc,2018-12-21,0,0,Menlo Park,CA,USA,xg-ventures.com,food & beverages,37.4519671,-122.1779927
123,45,4114,Actis,London,vc,2018-03-13,0,0,London,,GBR,act.is,food & beverages,42.19592,-73.36206
124,48,11496,Stephan Uhrenbacher,Hamburg,angel,2013-01-30,0,0,Hamburg,,DEU,,food & beverages,51.8511692,4.5110186
125,3,1937,Kamran Pourzanjani,Los Angeles,angel,2015-02-24,0,0,Los Angeles,CA,USA,angel.co/kamran-pourzanjani,food & beverages,34.0536909,-118.242766
126,5,1949,Carlos Bhola,New York,angel,2010-05-18,0,0,New York,NY,USA,,food & beverages,40.7127281,-74.0060152
127,7,5117,Hudson Bay Capital Management,New York,vc,2020-04-11,0,0,New York,NY,USA,hudsonbaycapital.com,food & beverages,40.7127281,-74.0060152
128,15,18017,NTT DoCoMo Ventures,Tokyo,vc,2020-09-02,0,0,Tokyo,,JPN,nttdocomo-v.com,food & beverages,35.6930518,139.7296485
129,19,6843,Sitra Ventures,Helsinki,vc,2014-12-10,0,0,Helsinki,,FIN,sitra.fi,food & beverages,60.1905852,24.9137774
130,21,8539,Ben Lewis,Bay Area,angel,2013-12-11,0,0,San Francisco,CA,USA,angel.co/ben-lewis,food & beverages,37.7790262,-122.4199061
131,22,983,Valhalla Partners,Vienna,vc,2018-06-06,0,0,Vienna,VA,USA,valhallapartners.com,food & beverages,38.9013729,-77.2651762
132,23,11592,Steven Kane,Boston,angel,2012-11-24,0,0,Boston,MA,USA,,food & beverages,42.3602534,-71.0582912
133,34,5554,Lon Chow,Chicago,angel,2016-05-10,0,0,Chicago,IL,USA,angel.co/lonchow,food & beverages,41.8755616,-87.6244212
134,41,11181,IPV Capital,Shanghai,vc,2016-04-27,0,0,Shanghai,,CHN,ipvcap.com,food & beverages,35.82194,127.14889
