,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
9,1836,Verizon Ventures,New York,vc,2018-12-12,0,0,Basking Ridge,NJ,USA,verizonventures.com,food & beverages
17,2086,David Shen,Bay Area,angel,2018-03-27,0,0,Palo Alto,CA,USA,angel.co/dshen,food & beverages
18,8731,Joshua Auerbach,New York,angel,2011-07-05,0,0,New York,NY,USA,,food & beverages
20,22215,PTV Healthcare Capital,Austin,vc,2018-01-08,0,0,Austin,TX,USA,ptvhc.com,food & beverages
26,1343,Keith Rabois,Bay Area,angel,2020-05-09,0,0,San Francisco,CA,USA,angel.co/rabois,food & beverages
31,887,Info Edge,New Delhi,strategic,2019-10-04,0,0,New Delhi,,IND,infoedge.in,food & beverages
36,9633,Kyle Porter,Atlanta,angel,2011-09-12,0,0,Atlanta,GA,USA,,food & beverages
40,10722,Linseed Capital,Usa,vc,2015-04-27,0,0,Usa,,JPN,linseedcapital.com,food & beverages
49,3298,I2A Fund,Chicago,vc,2016-06-07,0,0,Chicago,IL,USA,i2afund.com,food & beverages
0,3382,K5 Ventures,Los Angeles,vc,2016-03-28,0,0,Newport Beach,CA,USA,k5ventures.com,food & beverages
6,24665,RoundGlass Partners,Seattle,vc,2017-07-28,0,0,Bellevue,WA,USA,round.glass,food & beverages
13,630,Michael Birch,Bay Area,angel,2020-06-09,0,0,San Francisco,CA,USA,angel.co/mickbirch,food & beverages
17,13567,Advance Publications,New York,strategic,2016-07-27,0,0,Staten Island,NY,USA,advance.net,food & beverages
18,10171,Matt Douglas,Boston,angel,2012-03-28,0,0,Boston,MA,USA,,food & beverages
19,15568,Coyote Ridge Ventures,Bay Area,vc,2015-04-23,0,0,San Francisco,CA,USA,coyoteridgevc.com,food & beverages
24,5631,Redmile Group,Bay Area,vc,2020-09-14,0,0,San Francisco,CA,USA,redmilegroup.com,food & beverages
25,10311,Decheng Capital,Shanghai,vc,2020-07-28,0,0,Shanghai,,CHN,decheng.com,food & beverages
27,20699,Deerfield Management Company,New York,vc,2020-07-07,0,0,New York,NY,USA,deerfield.com,food & beverages
29,9400,Michael Kinsbergen,Amsterdam,angel,2013-01-17,0,0,Amsterdam,,NLD,angel.co/mkinsbergen,food & beverages
30,3027,EnerTech Capital,Conshohocken,vc,2017-09-18,0,0,Conshohocken,PA,USA,enertechcapital.com,food & beverages
